category_id,categoryname,overall,vedomosti_overall,lenta_overall,tass_overall,overall_last_day,vedomosti_last_day,lenta_last_day,tass_last_day,avg_per_day,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1,Армия и ОПК,18,,,18,18,,,18,2295,,,,,18,,
2,Бизнес,48,48,,,14,14,,,1551,12,7,12,11,5,,1
3,Борьба с изменениями климата,0,,,,,,,,,,,,,,,
4,Бывший СССР,70,,70,,29,,29,,1429,,,,36,34,,
5,Внешняя политика,0,,,,,,,,,,,,,,,
6,Военная операция на Украине,0,,,,,,,,,,,,,,,
7,Забота о себе,22,,22,,12,,12,,1518,,,,8,14,,
8,Зимние виды спорта,0,,,,,,,,,,,,,,,
9,Зимние олимпийские виды спорта,0,,,,,,,,,,,,,,,
10,Из жизни,19,,19,,11,,11,,1551,,,,7,12,,
11,Интернет и СМИ,30,,30,,11,,11,,1415,,,,13,17,,
12,Космос,3,,,3,3,,,3,2299,,,,,3,,
13,Кубок Первого канала,0,,,,,,,,,,,,,,,
14,Культура,24,,22,2,7,,5,2,1397,,,,8,16,,
15,Летние виды спорта,0,,,,,,,,,,,,,,,
16,Летние олимпийские виды спорта,0,,,,,,,,,,,,,,,
17,Медиа,1,1,,,1,1,,,1636,,,,1,,,
18,Международная панорама,12,,,12,12,,,12,2340,,,,,12,,
19,Мир,84,,84,,35,,35,,1481,,,,34,50,,
20,Москва,8,,,8,8,,,8,2216,,,,,8,,
21,Московская область,2,,,2,2,,,2,2127,,,,,2,,
22,Моя страна,4,,4,,1,,1,,1326,,,,2,2,,
23,Нагорно-карабахский конфликт,0,,,,,,,,,,,,,,,
24,Наука и техника,36,,36,,12,,12,,1436,,,,16,20,,
25,Недвижимость,2,2,,,1,1,,,1529,1,,,1,,,
26,Новости Урала,0,,,,,,,,,,,,,,,
27,Новый год и Рождество,0,,,,,,,,,,,,,,,
28,Образование,0,,,,,,,,,,,,,,,
29,Общество,142,112,,30,56,26,,30,1709,19,26,17,17,45,11,7
30,Политика,200,171,,29,76,47,,29,1725,30,23,31,33,58,10,15
31,Происшествия,11,,,11,11,,,11,2299,,,,,11,,
32,Путешествия,35,,35,,15,,15,,1516,,,,13,22,,
33,"Расследование утечек газа из ""Северных потоков""",0,,,,,,,,,,,,,,,
34,Религия,0,,,,,,,,,,,,,,,
35,Россия,127,,127,,37,,37,,1435,,,,52,75,,
36,Сборные по футболу,0,,,,,,,,,,,,,,,
37,Северный Кавказ,0,,,,,,,,,,,,,,,
38,Северо-Запад,0,,,,,,,,,,,,,,,
39,Сибирь,0,,,,,,,,,,,,,,,
40,Силовые структуры,43,,43,,20,,20,,1574,,,,17,26,,
41,Ситуация на Корейском полуострове,0,,,,,,,,,,,,,,,
42,Спорт,41,,32,9,28,,19,9,1807,,,,12,29,,
43,Среда обитания,31,,31,,13,,13,,1570,,,,13,18,,
44,Технологии,17,17,,,7,7,,,1716,2,2,5,7,1,,
45,Туризм и отдых,0,,,,,,,,,,,,,,,
46,Финансы,13,13,,,3,3,,,1683,3,5,1,2,2,,
47,Футбол,0,,,,,,,,,,,,,,,
48,Хоккей,0,,,,,,,,,,,,,,,
49,Хоккей в России,0,,,,,,,,,,,,,,,
50,Ценности,38,,38,,17,,17,,1607,,,,17,21,,
51,Частичная мобилизация в России,0,,,,,,,,,,,,,,,
52,ЧМ-2022 по футболу,0,,,,,,,,,,,,,,,
53,Экономика,122,43,79,,44,9,35,,1635,6,10,8,36,55,5,2
54,Экономика и бизнес,36,,,36,36,,,36,2339,,,,,36,,
55,Эскалация в Косове,0,,,,,,,,,,,,,,,
56,69-я параллель,2,,2,,,,,,1302,,,,1,1,,
57,"Форум ""Россия - спортивная держава""",0,,,,,,,,,,,,,,,
58,Чемпионат России по фигурному катанию,0,,,,,,,,,,,,,,,
59,Туризм в России,0,,,,,,,,,,,,,,,
60,Демография,0,,,,,,,,,,,,,,,
61,Кино,0,,,,,,,,,,,,,,,
62,Пандемия COVID-19,0,,,,,,,,,,,,,,,
63,Национальные проекты,0,,,,,,,,,,,,,,,
64,Колебания курса рубля,0,,,,,,,,,,,,,,,
65,Новости регионов,1,,,1,1,,,1,2360,,,,,1,,
66,Новости партнеров,1,,,1,1,,,1,2361,,,,,1,,
67,Ситуация в зоне нагорнокарабахского конфликта,0,,,,,,,,,,,,,,,
68,Авто,4,4,,,1,1,,,1751,2,,1,,1,,
69,Бизнес / Транспорт,1,1,,,,,,,1793,,,1,,,,
70,Киберспорт,0,,,,,,,,,,,,,,,
71,Отставки и назначения,0,,,,,,,,,,,,,,,
72,КХЛ,0,,,,,,,,,,,,,,,
73,Электроэнергетика,0,,,,,,,,,,,,,,,
74,Арктика,0,,,,,,,,,,,,,,,
75,Медицина,0,,,,,,,,,,,,,,,
76,Умер Пеле,0,,,,,,,,,,,,,,,
77,Санкции в отношении России,0,,,,,,,,,,,,,,,
78,Australian Open,0,,,,,,,,,,,,,,,
79,Теннис,0,,,,,,,,,,,,,,,
80,НХЛ,0,,,,,,,,,,,,,,,
81,Внутренняя политика,0,,,,,,,,,,,,,,,
82,Ситуация вокруг ядерной программы Ирана,0,,,,,,,,,,,,,,,
